extension,x,y,mag_v,mag_i,type,snr_v,snr_i,flag_v,flag_i,crowd_v,crowd_i,sharp_v,sharp_i,err_v,err_i
0,1536.03,2627.25,22.588,21.375,1,145.4,146.4,0,0,0.035,0.023,-0.046,-0.01,0.0069999999999999,0.0069999999999999
0,2211.03,2286.38,23.074,21.179,1,112.9,155.5,0,0,0.05,0.038,-0.016,-0.011,0.01,0.0069999999999999
0,1568.42,1943.53,22.852,21.256,1,117.8,145.9,0,0,0.29,0.178,-0.046,-0.0279999999999999,0.009,0.0069999999999999
0,3117.26,3464.9,22.136,21.74,1,165.9,125.9,0,0,0.02,0.013,0.008,0.0069999999999999,0.0069999999999999,0.009
0,2039.06,2076.91,22.563,21.396,1,134.5,137.0,0,0,0.045,0.0409999999999999,-0.0289999999999999,-0.008,0.008,0.008
0,2304.1,2223.65,23.402,21.088,1,72.8,118.4,0,0,0.086,0.053,0.005,-0.0289999999999999,0.015,0.009
0,1669.16,1893.28,24.177,20.987,1,65.9,173.0,0,0,0.025,0.038,-0.065,-0.0069999999999999,0.016,0.006
0,2143.2,3082.73,23.35,21.12,1,106.2,168.3,0,0,0.023,0.013,-0.042,-0.0579999999999999,0.01,0.006
0,3419.07,3012.7,23.264,21.124,1,117.6,173.4,0,0,0.0139999999999999,0.008,-0.018,-0.002,0.009,0.006
0,1549.35,2313.99,22.019,21.921,1,155.5,101.2,0,0,0.157,0.175,-0.049,-0.033,0.0069999999999999,0.011
0,1701.96,2138.67,22.043000000000003,21.819000000000003,1,105.8,74.5,0,0,0.15,0.1009999999999999,-0.026,-0.001,0.01,0.015
0,1425.38,2896.39,23.833,20.998,1,89.8,180.4,0,0,0.038,0.026,-0.037,-0.003,0.012,0.006
0,3372.17,2017.48,23.174,21.137,1,118.6,168.2,0,0,0.0289999999999999,0.027,-0.038,0.009,0.009,0.006
0,3038.47,3463.54,23.466,21.101,1,103.6,174.2,0,0,0.065,0.003,0.006,0.005,0.01,0.006
0,2208.13,2908.84,23.292,21.149,1,106.4,160.6,0,0,0.024,0.0139999999999999,-0.0279999999999999,-0.02,0.01,0.0069999999999999
0,2489.39,2697.09,23.609,21.128,1,84.9,162.9,0,0,0.182,0.043,-0.063,-0.031,0.013,0.0069999999999999
0,3107.96,2377.76,23.258000000000003,21.198,1,88.6,136.4,0,0,0.024,0.0579999999999999,-0.037,-0.001,0.012,0.008
0,2399.16,3806.51,23.671,21.049,1,99.4,179.2,0,0,0.015,0.01,0.011,-0.018,0.011,0.006
0,2359.37,2311.68,22.1,21.911,1,155.9,104.1,0,0,0.1119999999999999,0.131,-0.043,-0.024,0.0069999999999999,0.01
0,2945.48,2763.31,23.521,21.108,1,95.7,161.0,0,0,0.128,0.121,-0.0069999999999999,-0.0,0.011,0.0069999999999999
0,1973.72,2394.68,22.195,21.795,1,147.6,106.0,0,0,0.094,0.144,-0.037,-0.012,0.0069999999999999,0.01
0,2540.44,2624.13,23.37,21.158,1,99.7,157.7,0,0,0.031,0.025,-0.011,-0.01,0.011,0.0069999999999999
0,2443.01,2533.05,22.352,21.661,1,144.9,119.6,0,0,0.081,0.089,-0.031,-0.018,0.0069999999999999,0.009
0,2316.8,2223.97,22.14,21.906,1,114.0,77.4,0,0,0.01,0.019,-0.0139999999999999,-0.008,0.01,0.0139999999999999
0,2766.76,1680.46,22.077,21.898000000000003,1,163.1,112.2,0,0,0.038,0.026,-0.01,-0.002,0.0069999999999999,0.01
0,2638.54,3530.3,23.658,21.084,1,98.3,174.5,0,0,0.016,0.024,0.0069999999999999,0.005,0.011,0.006
0,2008.87,2262.52,23.471,21.184,1,85.9,147.7,0,0,0.332,0.171,-0.069,-0.049,0.013,0.0069999999999999
0,1783.07,2008.28,23.351,21.176,1,99.0,155.5,0,0,0.118,0.073,-0.027,-0.004,0.011,0.0069999999999999
0,2245.78,2442.45,23.679,21.135,1,84.2,158.3,0,0,0.078,0.04,-0.045,-0.038,0.013,0.0069999999999999
0,1686.22,1851.78,21.978,22.234,1,155.4,83.0,0,0,0.163,0.291,-0.027,0.004,0.0069999999999999,0.013
0,2747.44,2886.02,23.14,21.272,1,116.7,156.6,0,0,0.016,0.009,0.005,0.011,0.009,0.0069999999999999
0,1965.36,1972.94,23.477,21.18,1,89.4,151.8,0,0,0.091,0.067,-0.039,-0.013,0.012,0.0069999999999999
0,2107.26,2393.77,23.534,21.191,1,87.7,150.3,0,0,0.085,0.074,-0.002,-0.015,0.012,0.0069999999999999
0,1973.95,2491.65,22.252,21.868,1,145.5,103.5,0,0,0.067,0.113,-0.044,-0.051,0.0069999999999999,0.01
0,1983.25,2356.49,23.235,21.278,1,100.5,143.8,0,0,0.118,0.092,-0.0409999999999999,-0.021,0.011,0.008
0,1687.92,1709.06,22.256,21.798,1,151.1,115.8,0,0,0.083,0.088,-0.045,-0.023,0.0069999999999999,0.009
0,1413.4,2803.41,22.43,21.736,1,150.4,124.4,0,0,0.026,0.011,-0.052,0.0139999999999999,0.0069999999999999,0.009
