extension,x,y,type,mag_v,err_v,snr_v,sharp_v,round_v,crowd_v,flag_v,mag_i,err_i,snr_i,sharp_i,round_i,crowd_i,flag_i
1,2252.49,2000.93,1,26.095,0.1,10.8,0.278,1.962,0.032,0,23.291,0.035,31.4,0.058,-0.046,0.035,0
1,2953.66,1729.34,1,24.674,0.024,45.2,-0.107,0.079,0.141,0,23.543,0.024,45.5,-0.108,0.002,0.152,0
1,2373.11,2028.95,1,25.457,0.074,14.7,-0.302,0.173,0.089,0,23.289,0.042,25.6,-0.182,0.145,0.08,2
1,1088.09,2030.66,1,24.065,0.027,40.1,0.275,0.051,0.011,0,24.13,0.047,22.9,-0.025,0.041,0.005,0
1,2044.49,1218.37,1,25.63,0.036,30.1,-0.142,0.109,0.192,0,23.241,0.02,55.4,-0.132,0.127,0.171,0
1,2002.44,2037.11,1,25.095,0.049,22.3,-0.24,0.259,0.034,0,23.434,0.036,30.0,-0.095,0.291,0.023,0
1,2069.48,1926.36,1,24.227,0.024,45.4,-0.034,0.472,0.073,0,24.018,0.04,27.3,-0.04,0.465,0.222,2
1,1986.13,1465.57,1,25.9,0.048,22.6,-0.033,0.413,0.017,2,23.322,0.022,48.5,0.029,0.091,0.015,2
1,2120.6,1911.61,1,25.532,0.045,24.1,-0.155,0.277,0.349,0,23.324,0.025,44.2,-0.092,0.209,0.283,0
1,2284.66,1657.16,1,25.07,0.03,36.1,-0.16,0.018,0.206,0,23.407,0.023,46.5,-0.103,0.087,0.208,0
1,1954.8,1797.12,1,25.364,0.038,28.7,-0.064,0.177,0.039,2,23.338,0.022,49.6,-0.033,0.108,0.04,0
1,2393.93,2024.88,1,25.243,0.059,18.5,0.073,0.389,0.156,0,23.369,0.036,30.5,0.003,0.027,0.108,0
1,2244.4,1872.46,1,25.601,0.045,24.2,0.173,1.136,0.016,0,23.309,0.023,47.3,0.092,0.41,0.015,0
1,1518.12,608.16,1,25.136,0.026,42.2,-0.028,0.217,0.002,0,23.36,0.02,54.8,0.008,0.079,0.002,0
1,1970.15,904.63,1,26.697,0.069,15.8,-0.167,0.39,0.011,0,24.166,0.037,29.7,0.276,0.102,0.011,2
